"","name","line","PlaceIsol","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","...12","...13","type","replicate"
"152","220120_YST6_R14_A_FLC_48hr","YST6","R14","FLC",1,1,1,NA,NA,NA,1.8,NA,NA,"R",14
"153","220120_YST6_R14_B_FLC_48hr","YST6","R14","FLC",1,1,1,NA,NA,NA,2.2,NA,NA,"R",14
"154","211216_YST6_R15_A_FLC_48hr","YST6","R15","FLC",1,1,1,NA,NA,NA,3.5,NA,NA,"R",15
"155","211216_YST6_R15_B_FLC_48hr","YST6","R15","FLC",0,1,1,NA,NA,NA,5.9,NA,NA,"R",15
"156","220120_YST6_R15_A_FLC_48hr","YST6","R15","FLC",1,1,1,NA,NA,NA,0,NA,NA,"R",15
"157","220120_YST6_R15_B_FLC_48hr","YST6","R15","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"R",15
"158","211216_YST6_R16_A_FLC_48hr","YST6","R16","FLC",0,1,1,NA,NA,NA,5.8,NA,NA,"R",16
"159","211216_YST6_R16_B_FLC_48hr","YST6","R16","FLC",1,1,1,NA,NA,NA,4.9,NA,NA,"R",16
"160","220120_YST6_R16_A_FLC_48hr","YST6","R16","FLC",1,1,1,NA,NA,NA,2.3,NA,NA,"R",16
"161","220120_YST6_R16_B_FLC_48hr","YST6","R16","FLC",0,1,1,NA,NA,NA,5.9,NA,NA,"R",16
"162","211216_YST6_R17_A_FLC_48hr","YST6","R17","FLC",0,1,1,NA,NA,NA,8.7,NA,NA,"R",17
"163","211216_YST6_R17_B_FLC_48hr","YST6","R17","FLC",1,1,1,NA,NA,NA,3.9,NA,NA,"R",17
"164","220120_YST6_R17_A_FLC_48hr","YST6","R17","FLC",1,1,1,NA,NA,NA,0,NA,NA,"R",17
"165","220120_YST6_R17_B_FLC_48hr","YST6","R17","FLC",1,1,1,NA,NA,NA,3.3,NA,NA,"R",17
"166","211216_YST6_R18_A_FLC_48hr","YST6","R18","FLC",1,1,1,NA,NA,NA,1.6,NA,NA,"R",18
"167","211216_YST6_R18_B_FLC_48hr","YST6","R18","FLC",1,1,1,NA,NA,NA,0.1,NA,NA,"R",18
"168","220120_YST6_R18_A_FLC_48hr","YST6","R18","FLC",1,1,1,NA,NA,NA,2.7,NA,NA,"R",18
"169","220120_YST6_R18_B_FLC_48hr","YST6","R18","FLC",1,1,1,NA,NA,NA,2.2,NA,NA,"R",18
"170","220120_YST6_R19_A_FLC_48hr","YST6","R19","FLC",1,1,1,NA,NA,NA,1.8,NA,NA,"R",19
"171","220120_YST6_R19_A1_FLC_48hr.tx","YST6","R19","FLC",1,1,1,NA,NA,NA,1.5,NA,NA,"R",19
"172","220120_YST6_R19_B_FLC_48hr","YST6","R19","FLC",1,1,1,NA,NA,NA,3.1,NA,NA,"R",19
"173","220120_YST6_R19_B1_FLC_48hr.tx","YST6","R19","FLC",1,1,1,NA,NA,NA,1.8,NA,NA,"R",19
"174","220120_YST6_R20_A_FLC_48hr","YST6","R20","FLC",1,1,1,NA,NA,NA,1,NA,NA,"R",20
"175","220120_YST6_R20_A1_FLC_48hr.tx","YST6","R20","FLC",1,1,1,NA,NA,NA,2.6,NA,NA,"R",20
"176","220120_YST6_R20_B_FLC_48hr","YST6","R20","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"R",20
"177","220120_YST6_R20_B1_FLC_48hr.tx","YST6","R20","FLC",1,1,1,NA,NA,NA,0.9,NA,NA,"R",20
